B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,YY,AAA,BBB,CCC,DDD,EEE,FFF,HHH,LLL
1-5,True,Yes,Yes,No,I don't know,Yes,I don't know,No,No,Maybe,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,<25,M,United Kingdom,United Kingdom,Never
1-5,True,No,No,No,No,I don't know,Very difficult,Maybe,Maybe,No,No,I don't know,Yes,True,Some did,I was aware of some,None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,No,False,Often,Often,36-45,M,Brazil,Brazil,Never
26-100,True,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,25-35,M,United States of America,United States of America,Sometimes
6-25,True,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Yes,Maybe,Maybe,Somewhat not open,"Yes, I experienced",No Entry,No,Maybe,Maybe,No,False,Not applicable to me,Not applicable to me,36-45,M,United States of America,United States of America,Never
26-100,True,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,True,I don't know,I was aware of some,None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,No,Maybe,Maybe,No,False,Not applicable to me,Rarely,36-45,M,Canada,Canada,Never
26-100,True,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,"Yes, it has","Yes, they do",Neutral,"Yes, I experienced",No,I don't know,Yes,Yes,Yes,True,Sometimes,Often,25-35,M,United Kingdom,United Kingdom,Sometimes
26-100,True,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"No, I don't think it would","No, I don't think they would",Very open,No,No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Often,<25,F,United States of America,United States of America,Sometimes
100-500,False,No,No Entry,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Maybe,Maybe,Somewhat open,No Entry,No Entry,I don't know,Yes,No,Yes,True,Never,Sometimes,25-35,M,Brazil,Brazil,Never
More than 1000,True,Yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,True,"Yes, they all did","Yes, I was aware of all of them",I don't know,"Yes, they all did",I don't know,Some of them,None of them,Some of my previous employers,I don't know,I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No Entry,Yes,Yes,Maybe,Yes,True,Rarely,Often,25-35,M,United States of America,United States of America,Sometimes
6-25,True,No,No Entry,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,No,Yes,No,False,Rarely,Sometimes,25-35,M,United Kingdom,United Kingdom,Sometimes
6-25,True,No,No Entry,No,No,I don't know,Somewhat difficult,Yes,No,No,Yes,No,Yes,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,Some did,None of them,Yes,Yes,Maybe,"Yes, I think they would",Not open at all,"Yes, I observed",Yes,No,No,No,No,False,Never,Sometimes,<25,M,Brazil,Brazil,Always
6-25,False,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,"Yes, always",None of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No Entry,No Entry,No,Yes,Yes,Yes,True,Sometimes,Often,25-35,F,United States of America,United States of America,Sometimes
100-500,True,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,True,Some did,I was aware of some,Some did,None did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,"No, I don't think it would",Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Often,25-35,M,United States of America,United States of America,Sometimes
26-100,True,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,True,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did",I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",Some of them,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,No,No,No,No,False,Not applicable to me,Not applicable to me,36-45,F,United States of America,United States of America,Always
26-100,True,I don't know,I am not sure,Yes,I don't know,Yes,I don't know,No,No,No,No,Yes,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,I don't know,None did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,45>,M,United States of America,United States of America,Sometimes
100-500,True,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Often,25-35,F,United States of America,United States of America,Sometimes
500-1000,True,Yes,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,No,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No Entry,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,36-45,M,United States of America,United States of America,Sometimes
100-500,True,I don't know,No,No,No,I don't know,I don't know,Yes,No,Maybe,Yes,No,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,"Yes, I think it would",Maybe,Very open,No,No Entry,I don't know,Yes,Yes,Yes,True,Often,Often,<25,M,United States of America,United States of America,Sometimes
6-25,True,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Maybe,Maybe,Somewhat open,No,No Entry,Yes,No,No,No,False,Not applicable to me,Not applicable to me,25-35,M,United States of America,United States of America,Sometimes
26-100,True,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,No,True,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,Yes,Maybe,No,No,False,Not applicable to me,Not applicable to me,25-35,F,United States of America,United States of America,Sometimes
26-100,True,No,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Maybe,No,Yes,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,I don't know,Maybe,Maybe,No,False,Not applicable to me,Sometimes,25-35,M,Netherlands,Netherlands,Never
26-100,True,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,No,No,No,True,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Maybe,No,True,Sometimes,Sometimes,36-45,F,United States of America,United States of America,Never
More than 1000,True,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,No,No,True,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, they all did","Yes, always",I don't know,"Yes, all of them","No, at none of my previous employers",I don't know,None did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,No,Yes,Yes,True,Sometimes,Sometimes,25-35,F,United States of America,United States of America,Always
6-25,True,Yes,Yes,No,No,Yes,Very easy,No,No,No,Yes,Yes,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"Yes, I think it would","No, I don't think they would",Somewhat not open,No,No Entry,No,Yes,Yes,Yes,True,Rarely,Often,25-35,M,United States of America,United States of America,Sometimes
100-500,False,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Yes,Yes,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No Entry,No,No,Maybe,No,False,Not applicable to me,Not applicable to me,25-35,M,United States of America,United States of America,Sometimes
26-100,True,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,True,"Yes, they all did","Yes, I was aware of all of them",I don't know,None did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Yes,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Often,25-35,M,United States of America,United States of America,Always
More than 1000,True,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,Yes,Maybe,Maybe,No,False,Not applicable to me,Not applicable to me,25-35,M,United States of America,United States of America,Sometimes
26-100,False,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,45>,M,United States of America,United States of America,Sometimes
26-100,False,I don't know,No,No,No,I don't know,I don't know,No,No,Maybe,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,"No, it has not",Maybe,Very open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Often,25-35,M,United States of America,United States of America,Sometimes
26-100,True,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,True,Some did,N/A (not currently aware),None did,Some did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Yes,No,Maybe,"No, I don't think they would",Very open,"Yes, I observed",No,Yes,Yes,No,Yes,True,Never,Often,36-45,F,United States of America,United States of America,Sometimes
100-500,True,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Never,Often,36-45,F,United States of America,United States of America,Sometimes
6-25,True,Yes,No,No,No,No,Neither easy nor difficult,Maybe,No,No,No,I don't know,No,True,"Yes, they all did",I was aware of some,None did,None did,Sometimes,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,No Entry,Yes,Yes,Maybe,Yes,True,Rarely,Sometimes,36-45,M,United States of America,United States of America,Sometimes
500-1000,True,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,True,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Yes,Maybe,"No, I don't think they would",Very open,No,No Entry,Yes,No,Maybe,No,False,Rarely,Rarely,25-35,M,United Kingdom,United Kingdom,Sometimes
